ISO 3,#,English
GGY,87,Guernsey
GIN,88,Guinea
GNB,89,Guinea-Bissau  
GUY,90,Guyana  
HTI,91,Haiti
VAT,92,Holy See
HND,93,Honduras  
HUN,94,Hungary
ISL,95,Iceland
IND,96,India
IDN,97,Indonesia
IRN,98,Iran (Islamic Republic of)
IRQ,99,Iraq  
IRL,100,Ireland
IMN,101,Isle of Man
ISR,102,Israel  
ITA,103,Italy
JAM,104,Jamaica  
JPN,105,Japan
JEY,106,Jersey
JOR,107,Jordan
KAZ,108,Kazakhstan  
KEN,109,Kenya  
KIR,110,Kiribati
KWT,111,Kuwait
KGZ,112,Kyrgyzstan  
LAO,113,Lao People's Democratic Republic
LVA,114,Latvia
LBN,115,Lebanon
LSO,116,Lesotho  
LBR,117,Liberia  
LBY,118,Libya
LIE,119,Liechtenstein  
LTU,120,Lithuania
LUX,121,Luxembourg
MDG,122,Madagascar
MWI,123,Malawi
MYS,124,Malaysia  
MDV,125,Maldives
MLI,126,Mali
MLT,127,Malta
MHL,128,Marshall Islands
MTQ,129,Martinique
MRT,130,Mauritania
MUS,131,Mauritius
MYT,132,Mayotte
MEX,133,Mexico  
FSM,134,Micronesia (Federated States of)
MCO,135,Monaco
MNG,136,Mongolia  
MNE,137,Montenegro
MSR,138,Montserrat  
MAR,139,Morocco  
MOZ,140,Mozambique  
MMR,141,Myanmar
NAM,142,Namibia
NRU,143,Nauru
NPL,144,Nepal  
NLD,145,Netherlands
NCL,146,New Caledonia  
NZL,147,New Zealand  
NIC,148,Nicaragua  
NER,149,Niger
NGA,150,Nigeria  
NIU,151,Niue
NFK,152,Norfolk Island
MNP,153,Northern Mariana Islands
NOR,154,Norway
PSE,155,Palestine
OMN,156,Oman  
PAK,157,Pakistan  
PLW,158,Palau
PAN,159,Panama  
PNG,160,Papua New Guinea  
PRY,161,Paraguay  
PER,162,Peru  
PHL,163,Philippines  
PCN,164,Pitcairn
POL,165,Poland
PRT,166,Portugal
PRI,167,Puerto Rico  
QAT,168,Qatar
KOR,169,Republic of Korea
MDA,170,Republic of Moldova
REU,171,Réunion
ROU,172,Romania
RUS,173,Russian Federation
RWA,174,Rwanda  
SHN,175,Saint Helena  
KNA,176,Saint Kits and Nevis
LCA,177,Saint Lucia
MAF,178,Saint Martin (French part)
SPM,179,Saint Pierre and Miquelon  
VCT,180,Saint Vincent and the Grenadines
BLM,181,Saint-Barthélemy
WSM,182,Samoa
SMR,183,San Marino
STP,184,Sao Tome and Principe
SAU,185,Saudi Arabia
SEN,186,Senegal
SRB,187,Serbia
SYC,188,Seychelles
SLE,189,Sierra Leone  
SGP,190,Singapore
SXM,191,Sint Maarten (Dutch part)
SVK,192,Slovakia
SVN,193,Slovenia
SLB,194,Solomon Islands  
SOM,195,Somalia
ZAF,196,South Africa
SSD,197,South Sudan
ESP,198,Spain
LKA,199,Sri Lanka
SDN,200,Sudan  
SUR,201,Suriname  
SJM,202,Svalbard and Jan Mayen Islands
SWZ,203,Swaziland  
SWE,204,Sweden
CHE,205,Switzerland  
SYR,206,Syrian Arab Republic  
TJK,207,Tajikistan  
THA,208,Thailand  
MKD,209,The former Yugoslav Republic of Macedonia
TLS,210,Timor-Leste
TGO,211,Togo  
TKL,212,Tokelau
TON,213,Tonga
TTO,214,Trinidad and Tobago  
TUN,215,Tunisia
TUR,216,Turkey
TKM,217,Turkmenistan  
TCA,218,Turks and Caicos Islands
TUV,219,Tuvalu
UGA,220,Uganda  
UKR,221,Ukraine  
ARE,222,United Arab Emirates
GBR,223,United Kingdom
TZA,224,United Republic of Tanzania
USA,225,United States of America  
VIR,226,United States Virgin Islands  
URY,227,Uruguay  
UZB,228,Uzbekistan
VUT,229,Vanuatu
VEN,230,Venezuela (Bolivarian Republic of)
VNM,231,Viet Nam  
WLF,232,Wallis and Futuna Islands
ESH,233,Western Sahara
YEM,234,Yemen  
ZMB,235,Zambia
ZWE,236,Zimbabwe
